Species,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Brassica napus,0.55826,0.35539,0.7416,0.603,0.6384,0.67892,0.77289,0.67228,0.65595,0.78312
Brassica rapa,0.0369,0.03386,0.07255,0.18241,0.15825,0.14252,0.07361,0.07684,0.12242,0.08964
Brassica oleracea,0.0097,0.00413,0.03103,0.02895,0.02896,0.0376,0.04401,0.02634,0.02417,0.05093
Raphanus sativus,0.00085,0.00114,0.00111,0.00736,0.02195,0.01339,0.00104,0.00043,0.01311,0.00227
Camelina sativa,0.00006,0.00009,0.00002,0.00012,0.00014,0.00006,0.00006,0.00003,0.00012,0.00004
Arabidopsis thaliana,0.00001,0,0,0.00003,0.00007,0.00003,0.00001,0.00001,0.00003,0.00002
Gossypium arboreum,0.00446,0.00756,0.00224,0.00133,0.00186,0.00123,0.00155,0.00229,0.00196,0.00105
Gossypium raimondii,0.00059,0.00085,0.00024,0.00028,0.00028,0.00019,0.00017,0.00027,0.00026,0.0001
Gossypium hirsutum,0.00023,0.0003,0.00013,0.00006,0.00012,0.00003,0.00006,0.00008,0.00012,0.00003
Theobroma cacao,0.00001,0,0,0.00001,0,0.00001,0,0.00001,0.00001,0.00001
Citrus sinensis,0.00005,0.00006,0.00002,0.00015,0.00035,0.00002,0.00001,0.00003,0.00001,0.00002
Mangifera indica,0.00002,0.00001,0,0.00001,0.00001,0.00001,0,0.00001,0,0
Eucalyptus grandis,0.00002,0.00003,0.00002,0.00001,0.00003,0.00002,0.00002,0.00003,0.00001,0.00001
Rhodamnia argentea,0.00001,0,0.00001,0.00001,0,0.00001,0,0,0,0.00001
Lupinus angustifolius,0.03077,0.04464,0.01538,0.00749,0.01059,0.00807,0.00935,0.01577,0.01561,0.00648
Arachis hypogaea,0.00762,0.00996,0.00193,0.00112,0.00459,0.00238,0.00483,0.00561,0.00523,0.00211
Arachis duranensis,0.00022,0.00032,0.00012,0.00003,0.00012,0.00007,0.00009,0.00015,0.00012,0.00005
Arachis ipaensis,0.00125,0.00165,0.00017,0.0003,0.00057,0.0005,0.00062,0.00108,0.00071,0.00033
Arachis stenosperma,0.0001,0.00015,0.00001,0.00002,0.00004,0.00002,0.00004,0.00003,0.00009,0.00003
Pisum sativum,0.00072,0.00038,0.00201,0.00819,0.00165,0.00333,0.00278,0.01025,0.03414,0.0001
Trifolium pratense,0.00114,0.01036,0.00021,0.00066,0.00041,0.00048,0.00087,0.00033,0.00319,0.00063
Cicer arietinum,0.00008,0.00009,0.00004,0.00006,0.00003,0.00006,0.00002,0.00007,0.00036,0.00002
Lotus japonicus,0.00001,0.00003,0.00001,0.00002,0.00001,0.00003,0.00002,0.00003,0.00027,0
Vigna radiata,0.0007,0.00661,0.00012,0.0014,0.00067,0.00103,0.00223,0.00003,0.00128,0.00279
Vigna unguiculata,0.00012,0.00012,0.00004,0.00001,0.00003,0.00001,0.00002,0.00004,0.00005,0
Vigna angularis,0.00002,0.00001,0.00001,0,0.00001,0,0,0.00001,0.00002,0
Phaseolus vulgaris,0.0003,0.0004,0.0004,0.00008,0.00015,0.00007,0.00013,0.00016,0.00029,0.0001
Cajanus cajan,0.00005,0.00002,0.00002,0.00003,0.00003,0.00006,0.00005,0.00008,0.00005,0.00001
Malus sylvestris,0.02787,0.00229,0.01137,0.04888,0.01854,0.02524,0.00029,0.02024,0.00117,0.00326
Malus domestica,0.01165,0.00078,0.00679,0.02869,0.01078,0.0188,0.00021,0.01203,0.0006,0.00198
Prunus mume,0.0002,0.00018,0.00054,0.0021,0.00729,0.00243,0.00198,0.01541,0.00019,0.00028
Prunus dulcis,0.00001,0.00002,0.00006,0.00023,0.0017,0.00037,0.00047,0.00332,0.00003,0.00012
Prunus persica,0.00001,0.00004,0.00008,0.00095,0.00271,0.00069,0.00071,0.00456,0.00002,0.00007
Fragaria vesca,0.00036,0.00061,0.00014,0.00329,0.00017,0.00011,0.00181,0.00012,0.00024,0.00008
Potentilla anserina,0.00008,0.00014,0,0.00121,0.00002,0.00002,0.00003,0.00001,0,0
Rosa chinensis,0.00001,0.00002,0.00002,0.00709,0.00002,0.00002,0.00003,0.00003,0.00001,0.00001
Cannabis sativa,0.00128,0.00116,0.00082,0.00041,0.00055,0.00037,0.00037,0.0006,0.00079,0.00029
Ziziphus jujuba,0.00001,0,0,0.00006,0.00002,0.00002,0.00001,0.00004,0.00001,0.00002
Populus trichocarpa,0.00407,0.00463,0.00161,0.00109,0.00123,0.00076,0.00143,0.00177,0.00231,0.00259
Mercurialis annua,0.00039,0.00064,0.00013,0.00007,0.00011,0.00006,0.00007,0.00013,0.00014,0.00005
Ricinus communis,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00001,0.00001,0,0.00002
Manihot esculenta,0.00004,0.00003,0.00002,0.00004,0.00001,0.00002,0.00001,0.00002,0.00001,0.00002
Quercus lobata,0.00026,0.00038,0.00013,0.00016,0.00014,0.00008,0.00012,0.00014,0.00015,0.0001
Quercus robur,0.00008,0,0.00005,0.00006,0.00003,0.00002,0.00001,0.00003,0.00002,0.00004
Juglans regia,0.00027,0.0002,0.00004,0.00004,0.00003,0.00003,0.00002,0.00001,0.00005,0.00004
Juglans microcarpa x Juglans regia,0.00003,0,0.00003,0.00008,0.00003,0.00001,0,0.00002,0.00001,0.00005
Carya illinoinensis,0.00006,0.00004,0.00001,0.00002,0.00001,0,0,0.00002,0.00001,0.00004
Cucurbita pepo,0.00042,0.00656,0.00015,0.00067,0.0004,0.0005,0.00121,0.00001,0.00084,0.00167
Cucumis melo,0.00217,0.00423,0.00081,0.00031,0.00026,0.00015,0.00023,0.00015,0.00098,0.00012
Cucumis sativus,0.00001,0.00001,0.00001,0.00001,0.00001,0,0,0,0,0
Benincasa hispida,0.00001,0,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00003,0
Tripterygium wilfordii,0.00001,0,0.00001,0.00006,0.00002,0.00001,0.00001,0.00003,0.00003,0.00001
Vitis vinifera,0.00002,0.00003,0.00006,0.00007,0.00002,0.00003,0.00002,0.00005,0,0.00005
Solanum lycopersicum,0.02839,0.04355,0.01356,0.00577,0.01493,0.00924,0.01759,0.01904,0.01649,0.00833
Solanum pennellii,0.00088,0.00113,0.0004,0.00021,0.00054,0.00032,0.00058,0.00059,0.00063,0.00026
Solanum dulcamara,0.0005,0.00063,0.00016,0.00011,0.00011,0.00006,0.00008,0.00011,0.00014,0.00006
Solanum stenotomum,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0
Capsicum annuum,0.00007,0.00006,0.00004,0.00004,0.00003,0.00003,0.00003,0.00004,0.00005,0.00003
Nicotiana attenuata,0.00009,0.00017,0.00006,0.00005,0.00006,0.00003,0.00002,0.00006,0.00014,0.00003
Ipomoea triloba,0.00039,0.00045,0.00009,0.00009,0.00013,0.00005,0.00006,0.00007,0.0001,0.00004
Salvia splendens,0.00016,0.00017,0.00006,0.00024,0.00005,0.00011,0.00014,0.00008,0.00007,0.00052
Salvia miltiorrhiza,0.00002,0.00004,0.00001,0.00004,0.00002,0.00001,0.00002,0.00001,0.00002,0
Olea europaea,0.00012,0.00132,0.00008,0.00046,0.00026,0.0003,0.0006,0.00002,0.00042,0.00082
Sesamum indicum,0.00001,0,0.00001,0.00001,0,0.00001,0.00001,0.00001,0,0.00003
Coffea eugenioides,0.00003,0.00009,0.00002,0.00014,0.00003,0.00003,0.00001,0.00006,0.00003,0.00004
Lactuca sativa,0.00059,0.00078,0.00072,0.00024,0.00029,0.00015,0.00021,0.00027,0.00045,0.00015
Helianthus annuus,0.0002,0.00011,0.00019,0.00011,0.00013,0.00007,0.0001,0.00015,0.00009,0.00005
Cynara cardunculus,0.00012,0.00015,0.00018,0.00008,0.0001,0.00002,0.00004,0.00005,0.00013,0.00005
Daucus carota,0.00009,0.0001,0.00008,0.00004,0.00006,0.00004,0.00008,0.00009,0.00007,0.00005
Actinidia eriantha,0.00014,0.0002,0.00019,0.00021,0.00008,0.00007,0.0001,0.00012,0.00011,0.00011
Impatiens glandulifera,0.0001,0.0001,0.00007,0.00005,0.00005,0.00003,0.00002,0.00003,0.00004,0.00002
Diospyros lotus,0.00004,0.00002,0.00002,0,0.00001,0.00001,0,0,0,0.00007
Amaranthus tricolor,0.00012,0.00011,0.00001,0.00005,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001
Beta vulgaris,0.00002,0,0.00001,0.00002,0,0,0,0,0,0
Malania oleifera,0.00001,0.00002,0.00002,0.00001,0,0,0,0,0.00001,0.00001
Macadamia integrifolia,0.25432,0.42646,0.08798,0.04823,0.06398,0.04524,0.04926,0.10215,0.08632,0.03286
Telopea speciosissima,0.00013,0.00124,0.00003,0.00015,0.00008,0.00008,0.00026,0.00001,0.00015,0.00006
Triticum aestivum,0.00373,0.00421,0.00108,0.00086,0.00203,0.00149,0.00265,0.00297,0.00239,0.00149
Triticum dicoccoides,0.00039,0.00047,0.00007,0.00005,0.00029,0.00013,0.0003,0.00039,0.00017,0.00015
Triticum urartu,0.00001,0.00001,0.00001,0,0.00002,0.00001,0.00001,0.00003,0.00003,0
Aegilops tauschii,0.00012,0.00015,0.00002,0.00005,0.00003,0.00005,0.00008,0.00013,0.00003,0.00007
Hordeum vulgare,0.00046,0.00039,0.0002,0.00007,0.00015,0.00007,0.00008,0.00028,0.00019,0.00005
Lolium rigidum,0.00042,0.00046,0.00027,0.00033,0.00035,0.00017,0.00022,0.00023,0.00031,0.00013
Lolium perenne,0,0,0.00001,0,0,0,0,0.00001,0.00001,0
Brachypodium distachyon,0.00018,0.00025,0.00012,0.00009,0.00011,0.00006,0.00008,0.00012,0.0001,0.00003
Oryza glaberrima,0.00004,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,0.00001,0.00001,0.00001
Panicum hallii,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002
Setaria viridis,0.00001,0.00004,0,0.00001,0,0,0.00001,0.00001,0,0.00001
Zea mays,0.00001,0.00003,0.00001,0.00003,0.00004,0.00002,0.00002,0.00003,0.00003,0.00001
Ananas comosus,0.00188,0.01097,0.00035,0.00171,0.00114,0.0012,0.00229,0.00016,0.00163,0.00244
Zingiber officinale,0.00032,0.00096,0.00016,0.0003,0.00025,0.0002,0.00041,0.00012,0.00022,0.00038
Musa acuminata,0.00001,0,0,0.00002,0.00001,0.00001,0.00001,0.00003,0,0.00001
Elaeis guineensis,0.00003,0.00003,0.00002,0.00002,0.00003,0.00001,0.00002,0.00002,0.00003,0.00003
Phoenix dactylifera,0.00005,0.00003,0.00009,0.00009,0.00003,0.00001,0.00001,0.00006,0.00001,0.00005
Asparagus officinalis,0.00061,0.00052,0.00024,0.00017,0.00019,0.00011,0.00015,0.00026,0.00026,0.00009
Dioscorea cayenensis,0.0001,0.00009,0.00003,0.00002,0.00003,0.00002,0.00001,0.00004,0.00003,0.00002
Papaver somniferum,0.00015,0.00017,0.00006,0.00004,0.00005,0.00004,0.00003,0.00005,0.00007,0.00002
Nymphaea colorata,0.00001,0.00001,0,0.00001,0,0,0,0,0.00001,0
Physcomitrium patens,0.00112,0.00105,0.00062,0.00046,0.00048,0.0003,0.00034,0.00064,0.00066,0.00025
Chlamydomonas reinhardtii,0.00015,0.00066,0.00004,0.00025,0.00013,0.00013,0.00031,0.00006,0.00021,0.00025
Ostreococcus tauri,0.00001,0.00002,0,0.00002,0.00002,0.00001,0.00002,0.00001,0,0.00001
Micromonas commoda,0,0.00002,0,0.00001,0,0,0.00001,0,0.00001,0.00001
Salvia hispanica,0,0.00001,0,0,0,0,0.00001,0,0.00001,0
Coffea arabica,0,0.00001,0,0,0.00001,0,0.00001,0,0,0
Erigeron canadensis,0,0.00006,0.00005,0.00001,0,0.00001,0.00002,0.00001,0.00002,0
Spinacia oleracea,0,0.00223,0.00011,0.00012,0.0002,0.00002,0.00005,0.00007,0.00016,0.00002
Panicum virgatum,0,0.00001,0.00002,0.00001,0.00001,0,0,0,0,0
Sorghum bicolor,0,0.00002,0,0,0,0,0,0,0,0
Punica granatum,0,0,0.00001,0.00001,0,0.00001,0,0,0,0.00001
Medicago truncatula,0,0,0.00001,0.00004,0.00002,0.00006,0.00001,0.0001,0.00054,0
Vitis riparia,0,0,0.00001,0,0,0,0,0,0,0
Oryza sativa,0,0,0,0.00001,0,0,0,0,0,0
Bathycoccus prasinos,0,0,0,0,0,0,0,0,0,0
Glycine max,0,0,0,0,0,0.00004,0,0.00006,0.00012,0.00002
Glycine soja,0,0,0,0,0,0,0.00006,0.00005,0,0
Oryza brachyantha,0,0,0,0,0,0,0,0,0,0
